BIB,Ridername        ,Team,Picked_by,Sub
56, LAMPAERT Yves,Quick-Step Alpha Vinyl Team,Not selected,NO
16, VAN AERT Wout,Jumbo-Visma,Haz,NO
1, POGAČAR Tadej,UAE Team Emirates,Stiff,NO
24, GANNA Filippo,INEOS Grenadiers,Falcs,NO
101, VAN DER POEL Mathieu,Alpecin-Deceuninck,Zing,NO
171, PEDERSEN Mads,Trek - Segafredo,Falcs,NO
18, VINGEGAARD Jonas,Jumbo-Visma,Falcs,NO
11, ROGLIČ Primož,Jumbo-Visma,Willo,NO
175, MOLLEMA Bauke,Trek - Segafredo,Not selected,NO
86, TEUNS Dylan,Bahrain - Victorious,Not selected,NO
146, CORT Magnus,EF Education-EasyPost,Not selected,NO
36, JUNGELS Bob,AG2R Citroën Team,Not selected,NO
28, YATES Adam,INEOS Grenadiers,Falcs,YES
94, KÜNG Stefan,Groupama - FDJ,Not selected,NO
25, PIDCOCK Thomas,INEOS Grenadiers,Willo,YES
87, TRATNIK Jan,Bahrain - Victorious,Not selected,NO
201, MATTHEWS Michael,Team BikeExchange - Jayco,Bergs,NO
21, THOMAS Geraint,INEOS Grenadiers,Willo,NO
44, KÄMNA Lennard,BORA - hansgrohe,Not selected,NO
54, CATTANEO Mattia,Quick-Step Alpha Vinyl Team,Not selected,NO
41, VLASOV Aleksandr,BORA - hansgrohe,Bergs,NO
167, VERMEERSCH Florian,Lotto Soudal,Not selected,NO
77, THOMAS Benjamin,Cofidis,Not selected,NO
124, MEINTJES Louis,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
15, LAPORTE Christophe,Jumbo-Visma,Not selected,NO
23, CASTROVIEJO Jonathan,INEOS Grenadiers,Not selected,NO
47, SCHACHMANN Maximilian,BORA - hansgrohe,Not selected,NO
45, KONRAD Patrick,BORA - hansgrohe,Not selected,NO
177, SKUJIŅŠ Toms,Trek - Segafredo,Not selected,NO
78, WALSCHEID Max,Cofidis,Not selected,NO
84, MOHORIČ Matej,Bahrain - Victorious,Haz,NO
6, MCNULTY Brandon,UAE Team Emirates,Not selected,NO
22, MARTÍNEZ Daniel Felipe,INEOS Grenadiers,Zing,NO
72, PÉRICHON Pierre-Luc,Cofidis,Not selected,NO
131, LUTSENKO Alexey,Astana Qazaqstan Team,Haz,YES
85, SÁNCHEZ Luis León,Bahrain - Victorious,Not selected,NO
111, BARDET Romain,Team DSM,Falcs,NO
63, IZAGIRRE Gorka,Movistar Team,Not selected,NO
114, EEKHOFF Nils,Team DSM,Not selected,NO
196, HOULE Hugo,Israel - Premier Tech,Not selected,NO
117, TUSVELD Martijn,Team DSM,Not selected,NO
64, JORGENSON Matteo,Movistar Team,Not selected,NO
52, ASGREEN Kasper,Quick-Step Alpha Vinyl Team,Not selected,NO
147, POWLESS Neilson,EF Education-EasyPost,Not selected,NO
88, WRIGHT Fred,Bahrain - Victorious,Not selected,NO
151, QUINTANA Nairo,Team Arkéa Samsic,Zing,YES
143, BETTIOL Alberto,EF Education-EasyPost,Not selected,NO
158, SWIFT Connor,Team Arkéa Samsic,Not selected,NO
178, STUYVEN Jasper,Trek - Segafredo,Not selected,NO
136, MOSCON Gianni,Astana Qazaqstan Team,Not selected,NO
91, GAUDU David,Groupama - FDJ,Bergs,NO
66, OLIVEIRA Nelson,Movistar Team,Not selected,NO
81, HAIG Jack,Bahrain - Victorious,Stiff,NO
203, DURBRIDGE Luke,Team BikeExchange - Jayco,Not selected,NO
123, GOOSSENS Kobe,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
53, BAGIOLI Andrea,Quick-Step Alpha Vinyl Team,Not selected,NO
17, VAN HOOYDONCK Nathan,Jumbo-Visma,Not selected,NO
58, SÉNÉCHAL Florian,Quick-Step Alpha Vinyl Team,Not selected,NO
12, BENOOT Tiesj,Jumbo-Visma,Not selected,NO
176, SIMMONS Quinn,Trek - Segafredo,Not selected,NO
213, GOUGEARD Alexis,B&B Hotels - KTM,Not selected,NO
202, BAUER Jack,Team BikeExchange - Jayco,Not selected,NO
172, CICCONE Giulio,Trek - Segafredo,Stiff,NO
194, FUGLSANG Jakob,Israel - Premier Tech,Willo,NO
82, CARUSO Damiano,Bahrain - Victorious,Willo,NO
148, RUTSCH Jonas,EF Education-EasyPost,Not selected,NO
182, BOASSON HAGEN Edvald,TotalEnergies,Not selected,NO
61, MAS Enric,Movistar Team,Zing,NO
57, MØRKØV Michael,Quick-Step Alpha Vinyl Team,Not selected,NO
121, KRISTOFF Alexander,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
93, GENIETS Kevin,Groupama - FDJ,Not selected,NO
65, MÜHLBERGER Gregor,Movistar Team,Not selected,NO
116, LEKNESSUND Andreas,Team DSM,Not selected,NO
43, HALLER Marco,BORA - hansgrohe,Not selected,NO
38, PARET-PEINTRE Aurélien,AG2R Citroën Team,Not selected,NO
205, JANSEN Amund Grøndahl,Team BikeExchange - Jayco,Not selected,NO
113, DEGENKOLB John,Team DSM,Not selected,NO
145, DOULL Owain,EF Education-EasyPost,Not selected,NO
31, O'CONNOR Ben,AG2R Citroën Team,Haz,NO
112, DAINESE Alberto,Team DSM,Not selected,NO
187, TURGIS Anthony,TotalEnergies,Not selected,NO
214, LECROQ Jérémy,B&B Hotels - KTM,Not selected,NO
71, MARTIN Guillaume,Cofidis,Haz,NO
197, NEILANDS Krists,Israel - Premier Tech,Not selected,NO
127, VAN DER HOORN Taco,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
